incident_id,company_id,date,sector,company_size,employees,attack_type,severity,security_maturity_score,records_exposed,downtime_hours,financial_loss_eur
inc-000277,ORG-0228,2024-01-18,Public,GE,11387,ransomware,major,70,232,52.2,615944
inc-000278,ORG-0015,2023-10-03,Santé,GE,40180,credential_theft,moderate,65,147,3.5,72486
inc-000279,ORG-0229,2022-08-18,Retail,PME,41,insider_error,minor,34,36,3.4,31727
inc-000280,ORG-0230,2025-03-05,Industrie,PME,155,ddos,minor,40,0,17.5,11071
inc-000281,ORG-0231,2022-01-27,Santé,PME,14,misconfiguration,minor,51,10,2.7,10444
inc-000282,ORG-0232,2023-03-24,Santé,PME,20,ransomware,minor,41,3,38.0,9296
inc-000283,ORG-0233,2025-12-26,Tech/SaaS,PME,31,data_breach,minor,32,26,11.2,11401
inc-000284,ORG-0234,2022-08-26,Retail,PME,190,phishing,minor,44,30,1.5,42345
inc-000285,ORG-0235,2024-02-29,Énergie,PME,15,phishing,minor,39,23,2.3,19500
inc-000286,ORG-0236,2022-05-25,Énergie,ETI,2139,credential_theft,minor,68,44,12.3,25195
inc-000287,ORG-0237,2022-11-10,Retail,PME,17,ddos,minor,44,0,13.7,8419
inc-000288,ORG-0238,2025-10-23,Tech/SaaS,PME,16,data_breach,minor,32,78,9.6,14137
inc-000289,ORG-0239,2025-02-05,Finance,PME,25,misconfiguration,minor,46,8,5.3,12552
inc-000290,ORG-0240,2022-02-24,Public,PME,91,misconfiguration,minor,43,10,7.0,9639
inc-000291,ORG-0241,2025-05-14,Santé,GE,13087,data_breach,catastrophic,57,68850,5.1,14715050
inc-000292,ORG-0242,2022-01-31,Industrie,PME,163,phishing,minor,47,11,2.9,13015
inc-000293,ORG-0243,2024-03-11,Industrie,GE,5324,ransomware,severe,48,,34.8,2584936
inc-000294,ORG-0244,2024-01-31,Tech/SaaS,PME,10,phishing,minor,51,22,1.7,18737
inc-000295,ORG-0046,2023-09-19,Retail,PME,86,supply_chain,major,33,1191,24.5,660195
inc-000296,ORG-0245,2024-01-20,Finance,PME,30,phishing,minor,60,4,6.3,4634
inc-000297,ORG-0052,2025-08-24,Retail,ETI,1871,phishing,moderate,38,94,3.9,138728
inc-000298,ORG-0246,2023-12-03,Retail,PME,15,ransomware,major,45,183,49.2,370500
inc-000299,ORG-0247,2025-07-10,Tech/SaaS,PME,27,ransomware,severe,41,1557,30.1,2057755
inc-000300,ORG-0059,2023-08-30,Tech/SaaS,PME,15,phishing,minor,52,,2.4,13471
inc-000301,ORG-0237,2024-02-25,Retail,PME,17,data_breach,moderate,44,291,10.5,75022
inc-000302,ORG-0232,2024-03-10,Santé,PME,20,ransomware,minor,41,3,39.4,6829
inc-000303,ORG-0007,2025-10-28,Énergie,ETI,2133,ransomware,severe,47,951,73.0,2597264
inc-000304,ORG-0248,2022-10-31,Industrie,PME,83,supply_chain,moderate,37,701,34.9,201327
inc-000305,ORG-0238,2023-11-25,Tech/SaaS,PME,16,ddos,minor,32,0,15.6,16157
inc-000306,ORG-0249,2023-11-26,Finance,PME,31,data_breach,minor,36,18,5.1,4636
inc-000307,ORG-0147,2024-12-01,Santé,ETI,547,supply_chain,minor,67,101,50.9,29881
inc-000308,ORG-0250,2023-07-01,Santé,ETI,1017,phishing,moderate,38,119,3.6,133411
inc-000309,ORG-0037,2023-09-10,Retail,ETI,4437,phishing,major,43,253,1.4,505706
inc-000310,ORG-0251,2022-01-27,Retail,PME,22,credential_theft,moderate,28,164,6.7,108802
inc-000311,ORG-0076,2022-10-06,Énergie,ETI,2629,credential_theft,catastrophic,68,4037,6.0,3033402
inc-000312,ORG-0252,2025-06-05,Santé,ETI,4311,data_breach,catastrophic,61,58906,4.9,12613446
inc-000313,ORG-0253,2022-02-28,Retail,PME,208,supply_chain,moderate,27,1529,32.0,296911
inc-000314,ORG-0254,2024-05-05,Retail,PME,40,misconfiguration,minor,25,8,,10088
inc-000315,ORG-0255,2022-01-18,Public,PME,53,data_breach,severe,43,9677,18.6,1374939
inc-000316,ORG-0256,2025-09-17,Finance,ETI,370,phishing,minor,84,53,1.3,43617
inc-000317,ORG-0257,2023-01-05,SantÃ©,ETI,305,insider_error,minor,72,62,2.4,28277
inc-000318,ORG-0258,2023-03-04,Public,ETI,328,insider_error,minor,66,63,3.3,46821
inc-000319,ORG-0259,2022-08-09,Retail,ETI,520,ddos,minor,41,0,11.9,9100
inc-000320,ORG-0260,2023-08-23,Finance,ETI,1083,data_breach,catastrophic,56,39946,24.5,7396179
inc-000321,ORG-0261,2022-09-18,Industrie,ETI,362,phishing,minor,42,30,9.8,29842
inc-000322,ORG-0262,2025-09-08,Énergie,PME,52,phishing,minor,59,22,1.6,20132
inc-000323,ORG-0263,2022-03-06,Retail,ETI,560,credential_theft,moderate,34,107,9.1,59469
inc-000324,ORG-0264,2023-12-01,Finance,ETI,540,data_breach,moderate,46,464,13.8,95882
inc-000325,ORG-0265,2025-02-02,Énergie,PME,224,data_breach,severe,54,4551,9.2,1707227
inc-000326,ORG-0266,2025-08-22,Tech/SaaS,PME,158,ransomware,minor,36,3,109.3,5358
inc-000327,ORG-0267,2025-12-28,Finance,PME,18,supply_chain,minor,38,9,45.7,3960
inc-000328,ORG-0268,2025-03-03,Retail,PME,33,phishing,minor,45,9,1.8,9973
inc-000329,ORG-0269,2025-12-04,Retail,ETI,578,misconfiguration,minor,54,20,3.1,15846
inc-000330,ORG-0270,2025-02-24,Tech/SaaS,PME,54,supply_chain,minor,32,14,28.9,6763
inc-000331,ORG-0271,2023-03-22,Tech/SaaS,ETI,447,data_breach,minor,42,33,5.7,9499
inc-000332,ORG-0272,2022-09-20,Finance,ETI,1545,ddos,moderate,54,0,6.0,66429
inc-000333,ORG-0273,2024-10-15,Tech/SaaS,PME,24,phishing,minor,34,5,2.2,7445
inc-000334,ORG-0274,2025-02-02,Santé,PME,24,phishing,minor,35,25,1.1,22036
inc-000335,ORG-0275,2023-04-06,Finance,ETI,265,ransomware,minor,63,11,38.3,23857
inc-000336,ORG-0276,2025-09-25,Finance,ETI,1914,phishing,minor,47,3,4.2,8253
inc-000337,ORG-0277,2022-06-12,Finance,PME,15,phishing,minor,47,6,8.1,8927
inc-000338,ORG-0238,2025-12-25,Tech/SaaS,PME,16,phishing,moderate,32,54,2.4,55227
inc-000339,ORG-0278,2024-03-22,Finance,ETI,2690,ddos,moderate,57,0,5.5,139611
inc-000340,ORG-0279,2025-01-14,Industrie,ETI,1693,data_breach,catastrophic,40,47796,13.0,6229198
inc-000341,ORG-0254,2023-06-14,Retail,PME,40,data_breach,minor,25,58,12.6,16007
inc-000342,ORG-0280,2022-11-28,Tech/SaaS,PME,85,phishing,minor,31,21,1.7,20889
inc-000343,ORG-0281,2025-07-07,Retail,ETI,360,data_breach,minor,59,115,5.0,14180
inc-000344,ORG-0282,2022-01-23,Tech/SaaS,PME,17,ransomware,minor,38,12,181.6,29108
inc-000345,ORG-0103,2025-09-02,Tech/SaaS,PME,20,phishing,minor,27,18,3.1,26159
inc-000346,ORG-0217,2024-04-25,Public,PME,31,ddos,minor,32,0,,16722
inc-000347,ORG-0049,2025-07-08,Finance,PME,97,insider_error,moderate,31,98,7.0,61409
inc-000348,ORG-0007,2022-12-20,Énergie,ETI,2133,phishing,moderate,47,66,1.5,93841
inc-000349,ORG-0283,2024-03-29,Retail,ETI,376,phishing,minor,43,39,2.3,48199
inc-000350,ORG-0284,2024-09-07,Tech/SaaS,PME,79,data_breach,moderate,49,1405,30.5,213575
inc-000351,ORG-0285,2024-11-18,Énergie,GE,12121,supply_chain,severe,92,4931,29.4,2333783
inc-000352,ORG-0286,2022-07-18,Tech/SaaS,PME,33,ransomware,minor,47,4,47.3,9631
inc-000353,ORG-0229,2024-01-31,Retail,PME,41,ddos,minor,34,0,,29501
inc-000354,ORG-0130,2023-10-30,Finance,PME,100,data_breach,moderate,40,987,12.9,157653
inc-000355,ORG-0287,2022-01-04,Énergie,ETI,2203,supply_chain,moderate,42,371,48.5,130299
inc-000356,ORG-0288,2025-08-29,Santé,PME,13,insider_error,minor,35,25,2.2,34079
inc-000357,ORG-0289,2023-07-04,Santé,PME,46,phishing,minor,51,6,1.7,8926
inc-000358,ORG-0290,2022-03-06,Finance,ETI,958,ddos,minor,61,0,21.0,30203
inc-000359,ORG-0113,2023-08-04,Tech/SaaS,ETI,2792,ransomware,minor,35,7,40.2,37810
inc-000360,ORG-0217,2023-04-15,Public,PME,31,ransomware,major,32,293,,506504
inc-000361,ORG-0291,2024-06-07,Retail,PME,229,credential_theft,minor,39,48,6.0,27069
inc-000362,ORG-0292,2025-06-03,Retail,PME,25,data_breach,minor,38,19,4.8,6853
inc-000363,ORG-0293,2024-11-01,Tech/SaaS,PME,42,credential_theft,moderate,51,571,1.8,296825
inc-000364,ORG-0294,2025-05-17,Retail,PME,31,ransomware,moderate,42,37,36.0,110173
inc-000365,ORG-0295,2023-02-17,Retail,GE,11986,misconfiguration,catastrophic,65,4864,2.2,4999998
inc-000366,ORG-0296,2024-05-07,Santé,ETI,4132,data_breach,moderate,64,365,3.2,86263
inc-000367,ORG-0287,2022-11-08,Énergie,ETI,2203,ransomware,catastrophic,42,1071,143.3,4968410
inc-000368,ORG-0297,2024-07-05,Tech/SaaS,ETI,1885,phishing,moderate,49,54,1.5,52812
inc-000369,ORG-0298,2024-05-25,Retail,ETI,2242,phishing,minor,57,30,7.4,25664
inc-000370,ORG-0299,2022-06-28,Finance,ETI,255,insider_error,minor,65,15,11.0,16774
inc-000371,ORG-0300,2022-02-14,Ã‰nergie,GE,5313,ransomware,catastrophic,80,5738,43.4,11379061
inc-000372,ORG-0301,2025-11-13,Retail,PME,206,phishing,minor,39,53,5.5,49951
inc-000373,ORG-0302,2022-05-20,Tech/SaaS,PME,20,phishing,moderate,41,59,2.7,61312
inc-000374,ORG-0303,2025-09-06,Retail,PME,71,ransomware,minor,34,6,86.5,7676
inc-000375,ORG-0304,2023-06-05,Retail,ETI,257,misconfiguration,moderate,48,70,3.4,125814
inc-000376,ORG-0305,2024-01-28,Industrie,PME,14,data_breach,minor,47,72,11.4,17828
inc-000377,ORG-0306,2023-07-08,Retail,ETI,1787,ransomware,major,51,,113.8,775404
inc-000378,ORG-0203,2022-09-25,Retail,ETI,555,phishing,minor,35,33,,34170
inc-000379,ORG-0307,2022-10-17,Retail,ETI,855,credential_theft,minor,46,16,5.0,16354
inc-000380,ORG-0308,2024-08-07,Industrie,ETI,252,insider_error,minor,60,27,12.2,31121
inc-000381,ORG-0309,2023-10-25,Retail,PME,12,ransomware,minor,36,2,48.7,6797
inc-000382,ORG-0310,2023-06-17,Tech/SaaS,PME,198,ransomware,minor,44,3,45.6,11063
inc-000383,ORG-0311,2024-01-11,Finance,PME,225,phishing,minor,66,14,3.4,18561
inc-000384,ORG-0312,2023-11-30,Santé,ETI,674,data_breach,severe,59,18968,3.2,2594842
inc-000385,ORG-0313,2023-08-09,Public,PME,14,ransomware,minor,39,4,29.0,21016
inc-000386,ORG-0314,2024-06-25,Finance,ETI,1882,ransomware,moderate,61,133,53.9,184874
inc-000387,ORG-0315,2025-12-16,Retail,PME,113,phishing,minor,48,11,4.1,21467
inc-000388,ORG-0316,2025-07-24,Santé,PME,34,credential_theft,minor,36,158,3.3,46304
inc-000389,ORG-0311,2022-10-05,Finance,PME,225,insider_error,major,66,664,7.6,931566
inc-000390,ORG-0031,2025-04-08,Santé,ETI,2748,ddos,catastrophic,44,0,4.6,6336804
inc-000391,ORG-0317,2022-10-30,Finance,PME,25,phishing,minor,55,12,,11215
inc-000392,ORG-0318,2024-01-15,Public,GE,64561,credential_theft,major,66,956,5.1,424792
inc-000393,ORG-0319,2022-09-19,Public,PME,248,misconfiguration,minor,50,47,3.1,46292
inc-000394,ORG-0320,2022-03-16,Finance,ETI,625,data_breach,moderate,64,358,9.2,58738
inc-000395,ORG-0321,2023-07-04,Retail,PME,14,ransomware,minor,39,4,48.4,18733
inc-000396,ORG-0322,2025-11-07,Énergie,PME,21,phishing,minor,48,20,2.9,20088
inc-000397,ORG-0323,2022-01-09,Santé,PME,65,ransomware,minor,46,4,53.6,12786
inc-000398,ORG-0324,2023-02-19,Finance,PME,158,credential_theft,minor,65,19,4.4,8420
inc-000399,ORG-0325,2024-07-31,Santé,PME,31,ransomware,severe,51,601,74.6,1030489
inc-000400,ORG-0326,2022-12-12,Retail,PME,25,ransomware,minor,51,8,35.8,14761
inc-000401,ORG-0327,2024-01-03,Retail,ETI,307,misconfiguration,minor,49,,1.6,38144
inc-000402,ORG-0328,2024-11-21,Santé,ETI,426,phishing,minor,57,41,4.8,24492
inc-000403,ORG-0329,2023-02-15,Santé,ETI,1418,insider_error,minor,41,56,5.8,33181
inc-000404,ORG-0330,2025-12-21,Retail,GE,43382,ddos,moderate,57,0,3.6,56254
inc-000405,ORG-0331,2024-11-17,Public,PME,85,credential_theft,minor,42,7,11.4,5625
inc-000406,ORG-0332,2025-05-09,Industrie,ETI,740,ransomware,moderate,59,28,20.3,63533
inc-000407,ORG-0333,2024-09-30,Industrie,GE,40915,phishing,catastrophic,56,1578,1.7,3386960
inc-000408,ORG-0334,2024-06-24,Tech/SaaS,PME,190,data_breach,minor,35,204,5.8,41514
inc-000409,ORG-0335,2025-09-23,Tech/SaaS,ETI,1038,ddos,moderate,59,0,8.8,97870
inc-000410,ORG-0336,2024-05-15,Retail,PME,19,supply_chain,minor,32,13,17.4,9041
inc-000411,ORG-0337,2023-02-12,Santé,PME,59,data_breach,minor,53,109,9.6,24438
inc-000412,ORG-0338,2025-11-09,Industrie,PME,11,supply_chain,minor,41,43,30.8,16724
inc-000413,ORG-0339,2023-01-18,Public,PME,18,credential_theft,severe,33,4223,5.9,2367459
inc-000414,ORG-0340,2025-05-10,Finance,PME,22,ransomware,severe,38,448,37.7,1341238
inc-000415,ORG-0341,2024-02-21,Public,ETI,954,supply_chain,major,51,795,54.9,744117
inc-000416,ORG-0342,2023-11-06,Public,PME,28,credential_theft,minor,43,30,8.0,10966
inc-000417,ORG-0343,2022-10-02,Tech/SaaS,PME,41,credential_theft,moderate,62,266,11.4,170082
inc-000418,ORG-0344,2022-10-04,Santé,ETI,573,phishing,moderate,50,69,2.1,133385
inc-000419,ORG-0026,2022-11-18,Santé,GE,41295,ransomware,catastrophic,81,2264,,4186908
inc-000420,ORG-0345,2024-08-12,Industrie,ETI,303,ransomware,minor,41,4,49.0,10801
inc-000421,ORG-0346,2023-04-08,Tech/SaaS,GE,51354,ransomware,moderate,48,,52.9,127236
inc-000422,ORG-0347,2024-10-26,Retail,ETI,2036,supply_chain,catastrophic,50,22489,56.9,5053313
inc-000423,ORG-0348,2023-08-11,Industrie,ETI,3876,credential_theft,catastrophic,41,32006,4.5,13281783
inc-000424,ORG-0349,2023-06-02,Finance,PME,36,misconfiguration,minor,54,8,,7458
inc-000425,ORG-0350,2022-01-26,Tech/SaaS,ETI,873,ransomware,moderate,39,35,25.0,103474
inc-000426,ORG-0351,2022-02-28,Énergie,PME,27,misconfiguration,minor,54,15,16.1,18205
inc-000427,ORG-0352,2023-02-10,Finance,ETI,1665,phishing,moderate,51,89,3.4,139855
inc-000428,ORG-0353,2025-01-14,Santé,PME,148,misconfiguration,minor,45,7,3.2,6891
inc-000429,ORG-0354,2024-11-01,Industrie,ETI,316,phishing,minor,53,8,3.0,12537
inc-000430,ORG-0355,2022-06-23,Finance,GE,43706,data_breach,severe,67,3669,3.1,1383364
inc-000431,ORG-0139,2022-01-23,Retail,ETI,2657,credential_theft,moderate,40,227,10.0,141920
inc-000432,ORG-0356,2022-07-07,Finance,ETI,1530,ransomware,minor,59,28,45.5,45728
inc-000433,ORG-0357,2022-09-14,Retail,PME,101,data_breach,minor,36,37,10.0,9748
inc-000434,ORG-0358,2023-11-28,Santé,PME,153,ddos,minor,27,0,25.3,20744
inc-000435,ORG-0095,2024-11-08,Énergie,PME,57,insider_error,minor,41,11,1.9,4804
inc-000436,ORG-0359,2022-07-02,Retail,PME,49,phishing,moderate,38,121,2.5,88982
inc-000437,ORG-0360,2023-01-08,Finance,PME,85,phishing,minor,60,6,1.2,8204
inc-000438,ORG-0012,2022-04-22,Retail,PME,41,credential_theft,minor,46,115,7.2,44112
inc-000439,ORG-0361,2024-10-30,Énergie,PME,94,ddos,minor,50,0,14.7,23429
inc-000440,ORG-0362,2024-12-14,Public,PME,30,phishing,minor,40,16,4.2,18450
inc-000441,ORG-0363,2024-12-30,Retail,ETI,280,phishing,minor,45,2,3.6,2935
inc-000442,ORG-0364,2022-12-28,Finance,ETI,2083,insider_error,minor,51,29,2.0,20681
inc-000443,ORG-0190,2023-05-21,Énergie,GE,60738,phishing,moderate,65,57,2.3,95946
inc-000444,ORG-0240,2024-04-12,Public,PME,91,data_breach,severe,43,4243,10.7,1136677
inc-000445,ORG-0365,2023-06-01,Santé,PME,160,supply_chain,minor,33,28,31.2,7518
inc-000446,ORG-0366,2024-01-06,Finance,PME,177,data_breach,minor,50,100,,15878
inc-000447,ORG-0367,2024-04-19,Retail,ETI,2440,insider_error,moderate,53,111,7.2,99852
inc-000448,ORG-0368,2022-05-30,Industrie,ETI,2096,phishing,minor,45,12,1.3,27143
inc-000449,ORG-0369,2023-02-22,Retail,PME,48,ddos,minor,35,0,,20385
inc-000450,ORG-0370,2023-02-05,Industrie,ETI,2846,credential_theft,minor,45,120,4.6,45680
inc-000451,ORG-0140,2024-04-01,Finance,PME,214,data_breach,severe,45,16767,15.1,1612831
inc-000452,ORG-0371,2022-06-04,Retail,PME,153,data_breach,minor,48,189,6.2,37838
inc-000453,ORG-0372,2023-09-26,Santé,ETI,4025,credential_theft,severe,46,3540,4.1,2695927
inc-000454,ORG-0373,2023-12-10,Industrie,GE,7976,misconfiguration,moderate,60,190,5.0,148823
inc-000455,ORG-0374,2025-04-12,Retail,PME,72,ransomware,severe,45,619,18.0,2686286
inc-000456,ORG-0375,2022-06-06,Finance,PME,87,phishing,minor,54,8,4.1,8492
inc-000457,ORG-0376,2024-07-13,Industrie,ETI,294,credential_theft,minor,49,8,8.8,9766
inc-000458,ORG-0377,2023-10-22,Retail,PME,126,phishing,minor,28,10,2.6,15328
inc-000459,ORG-0378,2025-03-08,Retail,ETI,478,insider_error,moderate,47,123,7.2,111565
inc-000460,ORG-0379,2023-04-21,Retail,ETI,753,phishing,moderate,52,106,6.3,78347
inc-000461,ORG-0380,2025-07-08,Finance,PME,12,ransomware,minor,62,3,32.1,10219
inc-000462,ORG-0381,2022-05-11,Retail,ETI,503,ransomware,major,61,221,125.9,633092
inc-000463,ORG-0164,2024-10-13,Énergie,PME,215,ddos,moderate,46,0,9.4,147937
inc-000464,ORG-0164,2022-04-10,Énergie,PME,215,phishing,minor,46,5,10.0,4763
inc-000465,ORG-0382,2024-12-19,Industrie,ETI,3167,ransomware,severe,46,797,,2059210
inc-000466,ORG-0383,2023-06-25,Public,ETI,1182,ransomware,moderate,42,84,104.3,189956
inc-000467,ORG-0384,2024-12-21,Retail,PME,60,misconfiguration,minor,47,6,14.3,6868
inc-000468,ORG-0385,2022-12-20,Énergie,PME,59,credential_theft,minor,55,9,5.4,11689
inc-000469,ORG-0386,2024-06-12,Santé,ETI,1821,misconfiguration,minor,54,25,6.4,34561
inc-000470,ORG-0387,2022-12-25,Tech/SaaS,GE,24401,phishing,moderate,71,117,2.2,161675
inc-000471,ORG-0388,2023-07-27,Finance,ETI,1843,credential_theft,severe,56,1152,19.9,1567318
inc-000472,ORG-0389,2025-12-27,Santé,PME,20,phishing,minor,55,14,,20171
inc-000473,ORG-0390,2024-01-13,Public,PME,112,supply_chain,moderate,49,466,20.2,268153
inc-000474,ORG-0375,2023-03-06,Finance,PME,87,phishing,minor,54,3,1.2,3375
inc-000475,ORG-0391,2025-06-30,Finance,PME,30,supply_chain,minor,35,6,58.9,4808
inc-000476,ORG-0392,2024-11-28,Tech/SaaS,ETI,1467,phishing,moderate,38,63,1.4,117388
inc-000477,ORG-0393,2022-05-24,Industrie,PME,73,phishing,minor,37,7,6.3,13909
inc-000478,ORG-0394,2025-04-24,Public,ETI,2283,ransomware,catastrophic,35,2976,29.6,4116739
inc-000479,ORG-0395,2023-05-01,Santé,PME,57,phishing,moderate,55,86,1.1,153540
inc-000480,ORG-0396,2023-11-11,Retail,PME,140,insider_error,minor,32,13,1.9,6506
inc-000481,ORG-0397,2023-05-04,Tech/SaaS,ETI,613,misconfiguration,major,50,400,13.8,915351
inc-000482,ORG-0398,2023-08-05,Tech/SaaS,PME,89,phishing,minor,37,4,6.0,9650
inc-000483,ORG-0399,2025-01-27,Énergie,PME,162,insider_error,moderate,54,69,3.5,57294
inc-000484,ORG-0400,2025-10-30,Énergie,PME,158,credential_theft,minor,41,118,3.8,44355
inc-000485,ORG-0401,2023-11-01,Industrie,PME,140,phishing,moderate,42,65,2.3,78022
inc-000486,ORG-0011,2022-04-29,Retail,ETI,538,insider_error,minor,46,14,4.6,12184
inc-000487,ORG-0402,2025-04-24,Tech/SaaS,PME,20,ransomware,moderate,44,39,26.3,89667
inc-000488,ORG-0050,2022-02-03,Industrie,PME,164,ransomware,major,29,313,96.2,536647
inc-000489,ORG-0403,2023-06-26,Finance,ETI,297,misconfiguration,minor,54,18,3.9,21616
inc-000490,ORG-0404,2022-02-09,Santé,ETI,1925,credential_theft,catastrophic,65,11232,1.2,6207691
inc-000491,ORG-0405,2022-08-10,Public,ETI,410,credential_theft,minor,42,21,3.6,6346
inc-000492,ORG-0406,2022-08-04,Énergie,PME,149,supply_chain,severe,46,6656,80.1,1293795
inc-000493,ORG-0407,2023-10-30,Tech/SaaS,PME,17,misconfiguration,minor,42,15,9.0,14860
inc-000494,ORG-0408,2023-05-30,Retail,PME,18,ransomware,minor,33,,59.9,5793
inc-000495,ORG-0043,2022-03-30,Industrie,PME,20,ddos,minor,39,0,14.1,21623
inc-000496,ORG-0409,2023-03-27,Industrie,ETI,4195,supply_chain,catastrophic,68,11681,23.1,5025730
inc-000497,ORG-0410,2022-04-30,Finance,PME,33,data_breach,minor,42,39,26.1,8071
inc-000498,ORG-0085,2024-11-03,Public,PME,20,misconfiguration,moderate,43,59,1.6,78712
inc-000499,ORG-0411,2025-07-02,Énergie,PME,46,supply_chain,minor,65,34,24.2,18153
inc-000500,ORG-0412,2022-04-18,Retail,PME,82,ddos,minor,34,0,8.4,9795
inc-000501,ORG-0413,2025-09-04,Santé,ETI,4161,data_breach,moderate,52,758,5.5,62036
inc-000502,ORG-0414,2024-12-15,Finance,ETI,3613,misconfiguration,minor,62,29,3.2,42793
inc-000503,ORG-0415,2022-02-25,Retail,PME,62,data_breach,severe,39,8781,14.8,1292231
inc-000504,ORG-0416,2022-04-27,Public,PME,87,credential_theft,minor,48,5,4.3,4657
inc-000505,ORG-0417,2022-02-18,Public,PME,160,ddos,minor,40,0,9.0,37763
inc-000506,ORG-0194,2025-05-06,Santé,PME,20,data_breach,major,41,1442,7.5,400988
inc-000507,ORG-0116,2024-12-04,Industrie,ETI,573,credential_theft,minor,42,55,4.2,43257
inc-000508,ORG-0418,2024-02-08,Finance,ETI,1500,phishing,minor,48,16,5.6,13444
inc-000509,ORG-0059,2022-10-09,Tech/SaaS,PME,15,data_breach,minor,52,95,3.6,22065
inc-000510,ORG-0419,2022-08-12,Industrie,ETI,338,phishing,moderate,40,31,3.5,60782
inc-000511,ORG-0420,2022-03-25,Retail,ETI,543,credential_theft,minor,55,84,5.9,29721
inc-000512,ORG-0421,2024-03-28,Retail,PME,43,misconfiguration,minor,51,17,11.2,7612
inc-000513,ORG-0422,2025-01-01,Finance,PME,178,data_breach,catastrophic,63,16957,24.5,4111146
inc-000514,ORG-0423,2024-09-10,Santé,PME,173,phishing,minor,51,,1.7,26826
inc-000515,ORG-0424,2023-09-23,Santé,PME,154,phishing,moderate,62,42,4.6,54801
inc-000516,ORG-0425,2022-12-01,Retail,PME,85,supply_chain,minor,22,207,53.4,42591
inc-000517,ORG-0426,2024-11-22,Retail,ETI,2262,ransomware,moderate,38,116,44.7,173976
inc-000518,ORG-0427,2023-02-02,Retail,PME,99,ddos,minor,37,0,24.1,7924
inc-000519,ORG-0137,2023-02-05,Santé,ETI,337,credential_theft,severe,55,6783,10.6,1453941
inc-000520,ORG-0428,2024-07-07,Public,PME,19,misconfiguration,minor,29,2,4.5,6335
inc-000521,ORG-0429,2025-10-05,Énergie,PME,41,phishing,minor,56,13,3.1,16443
inc-000522,ORG-0208,2024-10-23,Finance,ETI,1329,phishing,moderate,60,128,1.8,244491
inc-000523,ORG-0430,2022-12-10,Tech/SaaS,PME,42,ransomware,minor,41,6,,9364
inc-000524,ORG-0431,2024-12-23,Retail,PME,21,insider_error,moderate,29,162,6.3,75976
inc-000525,ORG-0308,2024-12-27,Industrie,ETI,252,credential_theft,minor,60,81,7.3,41536
inc-000526,ORG-0432,2023-10-03,Énergie,ETI,796,ransomware,catastrophic,48,1164,58.3,3104594
inc-000527,ORG-0433,2025-03-17,Industrie,ETI,2291,misconfiguration,moderate,48,23,5.7,74600
inc-000528,ORG-0004,2023-10-15,Public,PME,150,ransomware,minor,49,4,51.4,16410
inc-000529,ORG-0434,2022-04-08,Énergie,PME,34,misconfiguration,minor,42,12,5.7,31040
inc-000530,ORG-0435,2025-06-29,Public,PME,31,data_breach,minor,37,160,7.7,28495
inc-000531,ORG-0208,2022-02-11,Finance,ETI,1329,phishing,moderate,60,248,3.3,260737
inc-000532,ORG-0264,2024-09-05,Finance,ETI,540,ransomware,minor,46,12,63.3,21388
inc-000533,ORG-0436,2024-03-01,Industrie,ETI,1208,supply_chain,catastrophic,42,7191,,4404008
inc-000534,ORG-0437,2024-09-22,Santé,ETI,903,phishing,moderate,54,92,1.7,52339
inc-000535,ORG-0438,2024-11-17,Santé,ETI,835,phishing,major,56,303,1.0,618659
inc-000536,ORG-0439,2025-06-30,Tech/SaaS,PME,121,phishing,minor,33,6,3.4,8274
inc-000537,ORG-0440,2025-09-21,Retail,ETI,3735,ransomware,major,44,141,81.9,503965
inc-000538,ORG-0441,2023-06-30,Industrie,PME,33,credential_theft,major,47,922,8.4,686005
inc-000539,ORG-0442,2023-10-08,Public,ETI,927,misconfiguration,severe,52,1038,3.7,1785390
inc-000540,ORG-0443,2025-04-27,Retail,ETI,391,phishing,moderate,52,42,7.3,50430
inc-000541,ORG-0444,2024-02-12,Énergie,ETI,390,data_breach,severe,47,,3.1,2304236
inc-000542,ORG-0445,2024-02-13,Industrie,PME,177,phishing,moderate,37,52,2.6,52377
inc-000543,ORG-0446,2022-02-12,Finance,ETI,1621,credential_theft,moderate,58,56,3.6,51488
inc-000544,ORG-0447,2022-09-28,Finance,ETI,3800,insider_error,moderate,46,182,9.6,234286
inc-000545,ORG-0448,2024-04-16,Industrie,ETI,403,phishing,minor,45,20,1.7,20761
inc-000546,ORG-0449,2022-04-12,Finance,ETI,1142,ransomware,severe,53,,70.0,2098255
inc-000547,ORG-0450,2022-08-02,Retail,ETI,3243,supply_chain,moderate,55,441,26.1,142370
inc-000548,ORG-0451,2025-02-07,Industrie,PME,74,credential_theft,minor,31,27,7.1,20439
inc-000549,ORG-0208,2025-09-26,Finance,ETI,1329,insider_error,minor,60,,4.6,35569
inc-000550,ORG-0452,2025-09-07,Santé,GE,14559,ransomware,major,60,271,61.5,756952
inc-000551,ORG-0453,2022-05-17,Finance,ETI,4356,insider_error,moderate,70,227,2.9,91850
inc-000552,ORG-0454,2023-12-10,Retail,ETI,661,data_breach,catastrophic,50,42902,4.7,8042204
inc-000553,ORG-0455,2025-04-24,Finance,ETI,0,supply_chain,major,66,803,63.8,553274
inc-000554,ORG-0456,2024-08-28,Retail,PME,33,supply_chain,moderate,19,378,57.4,152930
